cve_ent,x,y
01,-102.361937749599,22.0064410849727
02,-115.097626765299,30.553902989061
03,-112.048635835046,25.9211845407463
04,-90.3161004877202,18.8484540649241
05,-102.04403868245,27.2954429754442
06,-104.114392286362,19.1316839548018
07,-92.4625558186236,16.4839894772793
08,-106.468939535199,28.8085380502572
09,-99.1394111893682,19.2768896356505
10,-104.913398569548,24.9236104012418
11,-101.012614352758,20.9054320442588
12,-99.9228015196833,17.670273399326
13,-98.8871130681419,20.4795566793462
14,-103.613166897198,20.5808232782147
15,-99.6453738062345,19.3559570440949
16,-101.878015560572,19.2072996982812
17,-99.0749623272838,18.7420779447782
18,-104.850725719829,21.8003131667427
20,-96.4495278246145,16.9697263340913
19,-99.9689699166313,25.5725902797659
21,-97.9000958209057,19.0060799569391
22,-99.8457964072673,20.8551760569205
23,-88.1146930463213,19.6342022610577
24,-100.416508698942,22.5854598219605
25,-107.482345615169,24.999154966055
26,-110.810684726118,29.6929887380351
27,-92.5816657194731,17.9309420377396
28,-98.6686777071063,24.2765594325061
29,-98.1685781684577,19.4285470384703
30,-96.4101615440568,19.3713004312839
31,-88.9276318385581,20.754492261577
32,-102.66055725737,23.2890189114401
